name|institution|course_id|language
Unraveling the Cycling City|University of Amsterdam|unraveling-the-cycling-city|English
A Crash Course in Causality:  Inferring Causal Effects from Observational Data|University of Pennsylvania|crash-course-in-causality|English
English for Business and Entrepreneurship|University of Pennsylvania|business|English
Natural Language Processing with Attention Models|DeepLearning.AI|attention-models-in-nlp|English
What is Compliance?|University of Pennsylvania|what-is-compliance|English
Getting Started with Google Sheets|Google Cloud|getting-started-with-google-sheets|English
Data Visualization with Python|IBM|python-for-data-visualization|English
Foundations of Mindfulness|Rice University|foundations-of-mindfulness|English
Negociación exitosa: Estrategias y habilidades esenciales (en español)|University of Michigan|negociacion|Spanish
Data-driven Decision Making|PwC|decision-making|English
Fundamentals of Engineering Exam Review|Georgia Institute of Technology|fe-exam|English
Gender and Sexuality: Diversity and Inclusion in the Workplace|University of Pittsburgh|gender-sexuality|English
Managerial Accounting Fundamentals|University of Virginia|uva-darden-managerial-accounting|English
Search Engine Optimization Fundamentals|University of California, Davis|seo-fundamentals|English
Essentials of Global Health|Yale University|essentials-global-health|English
International Security Management|Erasmus University Rotterdam|international-security-management|English
Getting Started with AWS Machine Learning|Amazon Web Services|aws-machine-learning|English
Arts and Heritage Management|Università Bocconi|arts-heritage|English
Understanding Einstein: The Special Theory of Relativity|Stanford University|einstein-relativity|English
Réussir le Changement|ESSEC Business School|reussir-le-changement|French
Equine Welfare and Management|University of California, Davis|equine|French
International migrations: a global issue|Sciences Po|international-migrations|English
Introduction to Web Development|University of California, Davis|web-development|English
Writing and Editing: Word Choice and Word Order|University of Michigan|writing-editing-words|English
Introduction to the Digital Advertising Landscape|University of Colorado Boulder|digital-advertising-landscape|English
Access Controls|(ISC)²|access-control-sscp|English
Engineering Project Management: Initiating and Planning|Rice University|initiating-planning|English
Kotlin for Java Developers|JetBrains|kotlin-for-java-developers|English
Mathematics for Machine Learning: Multivariate Calculus|Imperial College London|multivariate-calculus-machine-learning|English
Introduction to Git and GitHub|Google|introduction-git-github|English
Industrial Biotechnology|University of Manchester   |industrial-biotech|English
The Addicted Brain|Emory University|addiction-and-the-brain|English
Introducción a la programación en Python I: Aprendiendo a programar con Python|Pontificia Universidad Católica de Chile|aprendiendo-programar-python|Spanish
Modernizing Data Lakes and Data Warehouses with GCP|Google Cloud|data-lakes-data-warehouses-gcp|English
Drug Discovery|University of California San Diego|drug-discovery|Deutsch
Nutrition and Lifestyle in Pregnancy|Ludwig-Maximilians-Universität München (LMU)|nutrition-pregnancy|English
Financial Acumen for Non-Financial Managers|University of Pennsylvania|finance-healthcare-managers|English
Python and Statistics for Financial Analysis|The Hong Kong University of Science and Technology|python-statistics-financial-analysis|English
